gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,0,1.0,0.579507729692,0.178466637259,0.076487625708,0.021906115535,0.007003687812,0.002144330789,1,1,57,Florida,83.04,South,7,120
mens,2021-03-14,1,0.542826900854,0.257656867386,0.120400817056,0.047979811492,0.020051749852,0.00540561374,0.001884307079,0,1,127,Michigan State,82.87,East,11a,50
mens,2021-03-14,0,1.0,0.389302491644,0.17037539447,0.057412403329,0.017313497349,0.005952742356,0.001878515591,1,1,183,Syracuse,83.03,Midwest,11,82
mens,2021-03-14,0,1.0,0.404982462282,0.121513800759,0.053379580174,0.021796309234,0.005465224225,0.001791387838,1,1,179,St. Bonaventure,82.87,East,9,38
mens,2021-03-14,0,1.0,0.56834588395,0.065401469122,0.027210926322,0.010601561233,0.004576629373,0.001545784345,1,1,201,Oklahoma,83.42,West,8,4
mens,2021-03-14,0,1.0,0.329107860078,0.142224393096,0.052052847889,0.014524437761,0.004537311689,0.001359760332,1,1,328,Utah State,82.37,South,11,114
mens,2021-03-14,0,1.0,0.423615108303,0.106724982249,0.044878910234,0.01276819335,0.004167626087,0.00125255969,1,1,228,Clemson,82.37,Midwest,7,88
mens,2021-03-14,1,0.457173099146,0.201542122963,0.088429430156,0.032960359581,0.01299557925,0.003290113584,0.001087336195,0,1,26,UCLA,81.89,East,11b,51
mens,2021-03-14,0,1.0,0.304846947467,0.115145827144,0.035292527513,0.012704331684,0.002781389874,0.00081138219,1,1,46,Georgetown,81.33,East,12,42
mens,2021-03-14,0,1.0,0.375054816644,0.087642758215,0.034027871834,0.006492771799,0.002526193548,0.000767581618,1,1,2670,Virginia Commonwealth,81.69,West,10,26
mens,2021-03-14,0,1.0,0.420492270308,0.10941744809,0.040834137281,0.010088817273,0.002827173598,0.000766276949,1,1,259,Virginia Tech,81.21,South,10,122
mens,2021-03-14,0,1.0,0.43165411605,0.04138357059,0.015204047591,0.005270299423,0.002057330035,0.000627202393,1,1,142,Missouri,81.85,West,9,6
mens,2021-03-14,1,0.600581492444,0.178194626475,0.059658976819,0.016116778989,0.00282994639,0.001033472647,0.000294650749,0,1,2724,Wichita State,79.9,West,11b,19
mens,2021-03-14,0,1.0,0.255543887293,0.099712153778,0.01582476728,0.004530816541,0.001164850298,0.000279935753,1,1,204,Oregon State,79.7,Midwest,12,74
mens,2021-03-14,0,1.0,0.23720275203,0.072669828207,0.020613237273,0.004439635822,0.001099433431,0.000265751132,1,1,2142,Colgate,79.61,South,14,118
mens,2021-03-14,0,1.0,0.247681888949,0.070788903717,0.00926587958,0.002575843455,0.00056359761,0.000121427821,1,1,2737,Winthrop,78.42,South,12,106
mens,2021-03-14,0,1.0,0.194857964761,0.067067563924,0.008709687486,0.002406063608,0.000523214404,0.0001120822,1,1,249,North Texas,78.38,South,13,110
mens,2021-03-14,0,1.0,0.170676156085,0.045498260558,0.009511352815,0.002454794507,0.0003806419,8.1946108e-05,1,1,2430,North Carolina-Greensboro,77.75,East,13,46
mens,2021-03-14,0,1.0,0.181292209102,0.043863073659,0.004399059393,0.001122645907,0.000335331194,7.8341022e-05,1,1,2540,UC-Santa Barbara,78.41,West,12,10
mens,2021-03-14,1,0.399418507556,0.093333746323,0.025799549571,0.005723282566,0.000822357666,0.000256419684,6.2493502e-05,0,1,2181,Drake,77.57,West,11a,18
mens,2021-03-14,0,1.0,0.154127428285,0.038695669939,0.00774087703,0.001759724371,0.00025270212,5.0777292e-05,1,1,2000,Abilene Christian,77.04,East,14,54
mens,2021-03-14,0,1.0,0.199851799146,0.051218219626,0.005858177667,0.001270025342,0.000251111077,4.7157072e-05,1,1,2335,Liberty,76.98,Midwest,13,78
mens,2021-03-14,0,1.0,0.135809452602,0.033789923781,0.003014284931,0.000695919398,0.000190174439,4.0717348e-05,1,1,195,Ohio,77.51,West,13,14
mens,2021-03-14,0,1.0,0.120609398135,0.027898958767,0.004377320318,0.00044375764,0.00010352454,1.8995231e-05,1,1,331,Eastern Washington,76.07,West,14,22
mens,2021-03-14,0,1.0,0.055994832342,0.01167732823,0.002121091695,0.000178947359,3.5598542e-05,5.594396e-06,1,1,2253,Grand Canyon,74.72,West,15,30
mens,2021-03-14,0,1.0,0.094410197098,0.014348594792,0.001684544314,0.000188557747,2.6026447e-05,3.477359e-06,1,1,2413,Morehead State,73.72,Midwest,14,86
mens,2021-03-14,0,1.0,0.056222858885,0.011255825503,0.001715091583,0.00017165013,2.0894669e-05,2.592796e-06,1,1,198,Oral Roberts,73.27,South,15,126
mens,2021-03-14,0,1.0,0.022848627864,0.002911731328,0.000481377053,5.9145428e-05,6.812351e-06,7.65659e-07,1,1,2182,Drexel,72.43,Midwest,16,66
mens,2021-03-14,0,1.0,0.048041141026,0.005258536263,0.000690337834,8.2271581e-05,6.21184e-06,6.89447e-07,1,1,314,Iona,71.81,East,15,62
mens,2021-03-14,0,1.0,0.036018116935,0.004982272142,0.000624183255,5.3293315e-05,5.682395e-06,5.93079e-07,1,1,325,Cleveland State,71.8,Midwest,15,94
mens,2021-03-14,0,1.0,0.018302035538,0.00129550717,0.000168582008,1.8988635e-05,1.720167e-06,1.60904e-07,1,1,42,Hartford,70.93,South,16,98
mens,2021-03-14,1,0.586415855769,0.006906844056,0.000976857381,9.7779766e-05,9.851535e-06,1.256108e-06,1.28097e-07,0,1,2026,Appalachian State,70.28,West,16b,3
mens,2021-03-14,1,0.505419943909,0.016048936752,0.001513204763,0.000149897034,1.473352e-05,8.70484e-07,7.6568e-08,0,1,116,Mount St. Mary's,68.91,East,16a,34
mens,2021-03-14,1,0.494580056091,0.015445366029,0.001434100562,0.000140006046,1.356785e-05,7.90424e-07,6.86e-08,0,1,2640,Texas Southern,68.79,East,16b,35
mens,2021-03-14,1,0.413584144231,0.003700856122,0.000411169027,3.2525563e-05,2.606522e-06,2.67443e-07,2.2065e-08,0,1,2450,Norfolk State,68.29,West,16a,2
womens,2021-03-14,0,1.0,0.99951130267,0.964108027775,0.900059654778,0.768630584171,0.541604965319,0.364293271203,1,1,24,Stanford,106.53,Alamo,1,0
womens,2021-03-14,0,1.0,0.997972138748,0.950271367643,0.865099698738,0.58398522732,0.464255417743,0.240189726529,1,1,41,Connecticut,104.26,River Walk,1,96
womens,2021-03-14,0,1.0,0.996623852041,0.89156363627,0.805327935694,0.501475007039,0.217193940002,0.1168351168,1,1,2579,South Carolina,101.81,Hemisfair,1,32
womens,2021-03-14,0,1.0,0.994782061019,0.908748053662,0.779738261924,0.349553251121,0.252095364258,0.106926772619,1,1,239,Baylor,101.12,River Walk,2,124
womens,2021-03-14,0,1.0,0.996191295105,0.910957876488,0.645554090129,0.333760325207,0.128503239307,0.062605334124,1,1,120,Maryland,99.94,Hemisfair,2,60
womens,2021-03-14,0,1.0,0.990842628446,0.859398124346,0.590975471329,0.373770730455,0.118713652871,0.036013064066,1,1,152,North Carolina State,96.71,Mercado,1,64
womens,2021-03-14,0,1.0,0.979883146618,0.787085274751,0.524904878694,0.12433221792,0.048040173721,0.018103700116,1,1,97,Louisville,95.99,Alamo,2,28
womens,2021-03-14,0,1.0,0.976945573118,0.713964332941,0.408169267299,0.196940072826,0.049676035473,0.01207120608,1,1,12,Arizona,93.85,Mercado,3,84
womens,2021-03-14,0,1.0,0.969905740262,0.779221367813,0.294915664027,0.113572985842,0.031100741188,0.011269467107,1,1,26,UCLA,95.26,Hemisfair,3,52
womens,2021-03-14,0,1.0,0.958740513452,0.691724028622,0.376885876845,0.178432519723,0.043902097624,0.010416870631,1,1,245,Texas A&M,93.54,Mercado,2,92
womens,2021-03-14,0,1.0,0.945737952478,0.652204203489,0.269824164489,0.136299549563,0.030878620373,0.006768149111,1,1,84,Indiana,92.59,Mercado,4,76
womens,2021-03-14,0,1.0,0.796724620765,0.511869195459,0.233593148198,0.042632480877,0.013129516275,0.004018599792,1,1,2483,Oregon,92.67,Alamo,6,16
